service_id,date,exception_type
20180909_----F--_62,20190405,1
20180909_--W-F--_31,20190405,1
20180909_M-W-F--_18,20190405,1
20180909_MT--F--_61,20190405,1
20180909_MTW-F--_7,20190405,1
20180909_MTWTF--_17,20190405,1
20180909_MTWTF--_30,20190405,1
20190106_----F--_37,20190405,1
20190106_-T--F--_29,20190405,1
20190106_MTWTF--_27,20190405,1
20190208_----F--_48,20190405,1
20190208_----F--_65,20190405,1
20190208_MTWTF--_44,20190405,1
20190208_MTWTF--_56,20190405,1
20190208_MTWTF--_69,20190405,1
20180819_-----S-_16,20190406,1
20180819_-----S-_60,20190406,1
20180909_-----S-_39,20190406,1
20180909_-----S-_47,20190406,1
20190106_-----S-_28,20190406,1
20190208_-----S-_23,20190406,1
20190208_-----S-_24,20190406,1
20190208_-----S-_9,20190406,1
20180819_------S_14,20190407,1
20180909_------S_5,20190407,1
20180909_------S_6,20190407,1
20190106_------S_38,20190407,1
20190208_------S_68,20190407,1
20190208_------S_70,20190407,1
20180819_MTWTF--_15,20190408,1
20180909_M-W-F--_18,20190408,1
20180909_MT--F--_61,20190408,1
20180909_MT-T---_73,20190408,1
20180909_MTW-F--_7,20190408,1
20180909_MTWTF--_17,20190408,1
20180909_MTWTF--_30,20190408,1
20190106_M-WT---_40,20190408,1
20190106_MTWTF--_27,20190408,1
20190208_MTWTF--_44,20190408,1
20190208_MTWTF--_56,20190408,1
20190208_MTWTF--_69,20190408,1
20180819_MTWTF--_15,20190409,1
20180909_MT--F--_61,20190409,1
20180909_MT-T---_73,20190409,1
20180909_MTW-F--_7,20190409,1
20180909_MTWTF--_17,20190409,1
20180909_MTWTF--_30,20190409,1
20190106_-T--F--_29,20190409,1
20190106_-T-T---_41,20190409,1
20190106_MTWTF--_27,20190409,1
20190208_MTWTF--_44,20190409,1
20190208_MTWTF--_56,20190409,1
20190208_MTWTF--_69,20190409,1
20180819_MTWTF--_15,20190410,1
20180909_--W----_63,20190410,1
20180909_--W-F--_31,20190410,1
20180909_M-W-F--_18,20190410,1
20180909_MTW-F--_7,20190410,1
20180909_MTWTF--_17,20190410,1
20180909_MTWTF--_30,20190410,1
20190106_M-WT---_40,20190410,1
20190106_MTWTF--_27,20190410,1
20190208_MTWTF--_44,20190410,1
20190208_MTWTF--_56,20190410,1
20190208_MTWTF--_69,20190410,1
20180819_MTWTF--_15,20190411,1
20180909_---T---_8,20190411,1
20180909_MT-T---_73,20190411,1
20180909_MTWTF--_17,20190411,1
20180909_MTWTF--_30,20190411,1
20190106_-T-T---_41,20190411,1
20190106_M-WT---_40,20190411,1
20190106_MTWTF--_27,20190411,1
20190208_MTWTF--_44,20190411,1
20190208_MTWTF--_56,20190411,1
20190208_MTWTF--_69,20190411,1
20180819_----F--_53,20190412,1
20180819_MTWTF--_15,20190412,1
20180909_----F--_62,20190412,1
20180909_--W-F--_31,20190412,1
20180909_M-W-F--_18,20190412,1
20180909_MT--F--_61,20190412,1
20180909_MTW-F--_7,20190412,1
20180909_MTWTF--_17,20190412,1
20180909_MTWTF--_30,20190412,1
20190106_----F--_37,20190412,1
20190106_-T--F--_29,20190412,1
20190106_MTWTF--_27,20190412,1
20190208_----F--_48,20190412,1
20190208_----F--_65,20190412,1
20190208_MTWTF--_44,20190412,1
20190208_MTWTF--_56,20190412,1
20190208_MTWTF--_69,20190412,1
20180819_-----S-_16,20190413,1
20180819_-----S-_60,20190413,1
20180909_-----S-_39,20190413,1
20180909_-----S-_47,20190413,1
20190106_-----S-_28,20190413,1
20190208_-----S-_23,20190413,1
20190208_-----S-_24,20190413,1
20190208_-----S-_9,20190413,1
20180819_------S_14,20190414,1
20180909_------S_5,20190414,1
20180909_------S_6,20190414,1
20190106_------S_38,20190414,1
20190208_------S_68,20190414,1
20190208_------S_70,20190414,1
20180819_MTWTF--_15,20190415,1
20180909_M-W-F--_18,20190415,1
20180909_MT--F--_61,20190415,1
20180909_MT-T---_73,20190415,1
20180909_MTW-F--_7,20190415,1
20180909_MTWTF--_17,20190415,1
20180909_MTWTF--_30,20190415,1
20190106_M-WT---_40,20190415,1
20190106_MTWTF--_27,20190415,1
20190208_MTWTF--_44,20190415,1
20190208_MTWTF--_56,20190415,1
20190208_MTWTF--_69,20190415,1
20180819_MTWTF--_15,20190416,1
20180909_MT--F--_61,20190416,1
20180909_MT-T---_73,20190416,1
20180909_MTW-F--_7,20190416,1
20180909_MTWTF--_17,20190416,1
20180909_MTWTF--_30,20190416,1
20190106_-T--F--_29,20190416,1
20190106_-T-T---_41,20190416,1
20190106_MTWTF--_27,20190416,1
20190208_MTWTF--_44,20190416,1
20190208_MTWTF--_56,20190416,1
20190208_MTWTF--_69,20190416,1
20180819_MTWTF--_15,20190417,1
20180909_--W----_63,20190417,1
20180909_--W-F--_31,20190417,1
20180909_M-W-F--_18,20190417,1
20180909_MTW-F--_7,20190417,1
20180909_MTWTF--_17,20190417,1
20180909_MTWTF--_30,20190417,1
